Members Expense Disclosure - October to December 2015,,,,,,,,
,,,,,,,,
Party,Member,Accommodation,,Travel,,Subtotal Parliamentary Service, Inter Parliamentary - Office of the Clerk ,
,,Wellington,Out of Wellington,Air,Surface,,,
,,,,,,,,
Act, Seymour David , -   , -   , -   , -   , -   ,  -  ,
Act Total,, -   , -   , -   , -   , -   ,  -  ,
,,,,,,,,
Green, Browning Steffan ," 7,518 "," 1,671 "," 9,094 "," 6,481 "," 24,764 ",  -  ,
, Clendon David ," 7,518 "," 1,138 "," 6,877 "," 2,764 "," 18,296 ",  -  ,
, Delahunty Catherine ," 5,262 ", 901 ," 5,380 "," 4,260 "," 15,804 ",  -  ,
, Davidson Marama ," 1,765 ", 236 ," 6,961 "," 1,612 "," 10,574 ",  -  ,
, Genter Julie-Anne ," 4,511 ", 477 ," 10,374 "," 2,087 "," 17,448 ",  -  ,
, Graham Kennedy ," 7,518 ", 128 ," 11,953 "," 2,690 "," 22,288 "," 13,428 ",
, Hague Kevin ," 7,518 ", 341 ," 8,051 "," 1,869 "," 17,779 ",  -  ,
, Hughes Gareth , - , 142 ," 8,917 ", 632 ," 9,692 ",  -  ,
, Logie Jan , - , 627 ," 3,663 "," 3,960 "," 8,250 ",  -  ,
, Mathers Mojo ," 7,518 ", 113 ," 4,304 "," 2,315 "," 14,249 ",  -  ,
, Norman Russel , - , 164 ," 2,611 "," 1,403 "," 4,179 ",  -  ,
, Roche Denise ," 6,137 ", 925 ," 8,623 "," 6,025 "," 21,709 ",  -  ,
, Sage Eugenie ," 5,262 ", 235 ," 4,795 "," 2,757 "," 13,049 ",  -  ,
, Shaw James , - ," 2,389 "," 14,425 "," 2,867 "," 19,682 ",  -  ,
, Turei Metiria ," 7,518 ", 547 ," 13,852 "," 1,485 "," 23,401 ",  -  ,
Green Total,," 68,044 "," 10,034 "," 119,881 "," 43,206 "," 241,165 "," 13,428 ",
,,,,,,,,
Labour, Ardern Jacinda ," 7,518 ", 612 ," 9,410 "," 4,729 "," 22,269 ",  -  ,
, Clark David ," 5,262 ", 167 ," 4,764 "," 2,726 "," 12,920 ",  -  ,
, Cosgrove Clayton ," 2,459 ", 326 ," 7,915 "," 2,737 "," 13,436 ",  -  ,
, Cunliffe David ," 7,518 ", 675 ," 9,507 "," 6,511 "," 24,210 ",  -  ,
, Curran Clare ," 7,518 ", 988 ," 5,896 "," 5,016 "," 19,417 ",  -  ,
, Davis Kelvin ," 7,518 "," 2,300 "," 10,683 "," 10,793 "," 31,294 ",  -  ,
, Dyson Ruth ," 7,518 ", 967 ," 9,927 "," 5,782 "," 24,194 ",  -  ,
, Faafoi Kris ,  -  , 959 ," 3,767 "," 5,987 "," 10,713 ",  -  ,
, Goff Phil , 991 ,  -  ," 7,175 "," 7,440 "," 15,606 ",  -  ,
, Henare Peeni ," 1,322 ", 993 ," 4,288 "," 8,360 "," 14,963 "," 2,532 ",
, Hipkins Chris ,  -  ," 1,393 "," 4,903 "," 4,199 "," 10,495 ",  -  ,
, King Annette ,  -  ," 1,566 "," 5,632 "," 3,487 "," 10,685 "," 13,191 ",
, Lees-Galloway Iain ," 5,262 "," 1,375 "," 2,394 "," 2,704 "," 11,735 ",  -  ,
, Little Andrew ,  -  ," 6,135 "," 14,693 "," 13,774 "," 34,602 ",  -  ,
, Mahuta Nanaia ," 7,518 "," 2,559 "," 10,131 "," 7,138 "," 27,347 ",  -  ,
, Mallard Trevor ,  -  , 938 ," 1,730 "," 8,610 "," 11,279 ",  -  ,
, Moroney Sue ," 5,262 "," 1,013 "," 8,509 "," 1,706 "," 16,491 ",  -  ,
, Nash Stuart ," 6,928 ", 546 ," 9,656 "," 5,692 "," 22,822 ",  -  ,
, O'Connor Damien ," 1,224 ", 176 ," 11,862 "," 9,746 "," 23,008 ",  -  ,
, Parker David ," 3,448 "," 1,065 "," 11,715 "," 5,380 "," 21,607 ",  -  ,
, Robertson Grant ,  -  ," 1,764 "," 10,849 "," 5,321 "," 17,934 ",  -  ,
, Rurawhe Adrian ," 7,518 "," 3,214 "," 7,297 "," 5,267 "," 23,295 ",  -  ,
, Sepuloni Carmel ," 5,262 ", 946 ," 11,532 "," 10,505 "," 28,246 ",  -  ,
, Shearer David ," 2,009 ", 311 ," 6,224 "," 5,489 "," 14,034 ",  -  ,
, Salesa Jenny ," 1,483 "," 1,984 "," 10,409 "," 2,826 "," 16,702 ",  -  ,
, Sio Su'a William ," 1,322 ", 657 ," 7,591 "," 7,132 "," 16,701 ",  -  ,
, Tirikatene Rino ," 4,511 ", 796 ," 8,849 "," 3,111 "," 17,267 ",  -  ,
, Twyford Phil ," 2,974 ", 922 ," 6,799 "," 3,674 "," 14,368 ",  -  ,
, Wall Louisa ," 7,518 "," 1,455 "," 7,613 "," 5,709 "," 22,295 ",  -  ,
, Whaitiri Meka ," 3,647 "," 1,743 "," 5,330 "," 6,473 "," 17,193 "," 14,094 ",
, Williams Poto ," 7,518 ",  -  ," 7,735 "," 1,980 "," 17,233 ",  -  ,
, Woods Megan ," 7,518 ", 476 ," 4,484 "," 5,000 "," 17,478 ",  -  ,
Labour Total,," 128,544 "," 39,020 "," 249,268 "," 185,005 "," 601,837 "," 29,817 ",
,,,,,,,,
Maori, Flavell Te Ururoa , - , - , 285 , - , 285 ,  -  ,
, Fox Marama ," 5,262 "," 4,828 "," 13,571 "," 9,998 "," 33,659 ",  -  ,
Maori Total,," 5,262 "," 4,828 "," 13,856 "," 9,998 "," 33,944 ",  -  ,
,,,,,,,,
National, Adams Amy , - , - , 389 , - , 389 ,  -  ,
, Bakshi Kanwaljit Singh ," 7,518 ", - ," 9,234 "," 7,069 "," 23,820 ",  -  ,
, Barclay Todd ," 7,518 "," 2,052 "," 9,454 "," 8,962 "," 27,986 ",  -  ,
, Barry Maggie , - , - , 909 , - , 909 ,  -  ,
, Bayly Andrew ," 7,518 ", 479 ," 6,897 "," 6,720 "," 21,614 ",  -  ,
, Bennett David ," 2,313 ", 162 ," 3,180 "," 2,842 "," 8,497 ",  -  ,
, Bennett Paula , - , - , - , - , - ,  -  ,
, Bishop Chris , - , 170 ," 3,193 "," 5,328 "," 8,691 ",  -  ,
, Borrows Chester ," 11,008 ", 434 ," 5,875 "," 5,620 "," 22,936 ",  -  ,
, Bridges Simon , - , - , - , - , - ,  -  ,
, Brownlee Gerry , - , - ," 2,835 ", - ," 2,835 ",  -  ,
, Carter David ," 11,008 ", - ," 10,112 ", 39 ," 21,159 "," 2,002 ",
, Coleman Jonathan , - , - , 423 , - , 423 ,  -  ,
, Collins Judith ," 6,444 ", 165 ," 3,815 ", 784 ," 11,208 ",  -  ,
, Dean Jacqui ," 7,518 "," 1,270 "," 12,223 "," 12,779 "," 33,790 ",  -  ,
, Doocey Matt ," 2,148 ", 609 ," 4,473 "," 7,531 "," 14,761 ",  -  ,
, Dowie Sarah ," 5,262 ", 350 ," 10,756 "," 5,002 "," 21,371 ",  -  ,
, English Bill , - , - ," 1,445 ", - ," 1,445 ",  -  ,
, Finlayson Chris , - , - , - , - , - ,  -  ,
, Foss Craig , - , - , 396 , - , 396 ,  -  ,
, Foster-Bell Paul , - ," 3,590 "," 8,513 "," 7,318 "," 19,421 ",  -  ,
, Goldsmith Paul , - , - , 511 , - , 511 ,  -  ,
, Goodhew Jo , - , - , 721 , - , 721 ,  -  ,
, Groser Tim , - , - , - , - , - ,  -  ,
, Guy Nathan , - , - , - , - , - ,  -  ,
, Hayes Joanne ," 7,518 "," 1,022 "," 10,802 "," 6,849 "," 26,192 ",  -  ,
, Hudson Brett , - , - ," 2,064 "," 1,650 "," 3,714 "," 14,130 ",
, Joyce Steven , - , - , - , - , - ,  -  ,
, Kaye Nikki , - , - , - , - , - ,  -  ,
, Key John , - , - ," 1,181 ", - ," 1,181 ",  -  ,
, Korako Nuk (1) ," 26,619 ", - ," 9,497 "," 2,970 "," 39,086 ",  -  ,
, Kuriger Barbara ," 5,262 "," 1,047 "," 6,819 "," 4,359 "," 17,487 "," 13,061 ",
, Lee Melissa ," 7,518 ", 394 ," 10,998 "," 5,863 "," 24,773 ",  -  ,
, Lotu-liga Peseta Sam , - , - , 902 , 158 ," 1,060 ",  -  ,
, Macindoe Tim ," 2,643 ", 991 ," 3,909 "," 1,880 "," 9,424 ",  -  ,
, McClay Todd , - , - ," 1,185 ", - ," 1,185 ",  -  ,
, McCully Murray , - , - , - , - , - ,  -  ,
, McKelvie Ian ," 7,518 ", 449 ," 2,821 "," 7,095 "," 17,882 ",  -  ,
, Mitchell Mark ," 7,518 ", 129 ," 6,425 "," 5,993 "," 20,065 ",  -  ,
, Muller Todd ," 6,528 "," 1,016 "," 7,387 "," 4,460 "," 19,391 ",  -  ,
, Naylor Jono ," 7,518 ", 502 ," 3,500 "," 1,826 "," 13,346 ",  -  ,
, Ngaro Alfred ," 7,518 ", - ," 5,415 "," 5,712 "," 18,645 ",  -  ,
, O'Connor Simon ," 7,518 ", - ," 5,204 "," 5,232 "," 17,954 ",  -  ,
, Parata Hekia , - , - , 758 , - , 758 ,  -  ,
, Parmar Parmjeet ," 7,518 ", - ," 6,885 "," 5,294 "," 19,696 "," 2,532 ",
, Pugh Maureen , - , - , - , - , - ,  -  ,
, Reti Shane ," 7,518 ", 707 ," 7,362 "," 3,474 "," 19,060 ",  -  ,
, Ross Jami-Lee ," 5,262 ", - ," 3,502 "," 3,639 "," 12,403 ",  -  ,
, Scott Alastair , - , - , 916 ," 3,957 "," 4,873 ",  -  ,
, Smith Stuart ," 7,518 "," 1,249 "," 10,233 "," 6,896 "," 25,895 ",  -  ,
, Smith Nick , - , - ," 1,538 ", - ," 1,538 ",  -  ,
, Simpson Scott ," 5,262 ", 464 ," 4,524 "," 8,250 "," 18,501 ",  -  ,
, Tisch Lindsay , - , 673 ," 3,320 "," 2,024 "," 6,017 ",  -  ,
, Tolley Anne , - , - ," 2,167 ", - ," 2,167 ",  -  ,
, Upston Louise , - , - ," 1,852 ", - ," 1,852 ",  -  ,
, Wagner Nicky , - , - , 803 , - , 803 ,  -  ,
, Williamson Maurice ," 7,518 ", - ," 2,893 "," 6,501 "," 16,912 ",  -  ,
, Woodhouse Michael , - , - , 363 , - , 363 ,  -  ,
, Yang Jian ," 3,965 ", - ," 3,918 "," 5,448 "," 13,331 ",  -  ,
, Young Jonathan ," 7,518 ", 127 ," 6,896 "," 4,735 "," 19,276 ",  -  ,
National Total,," 214,012 "," 18,051 "," 231,393 "," 174,259 "," 637,714 "," 31,725 ",
,,,,,,,,
New Zealand First,Ball Darroch," 1,652 ", 150 ," 5,554 "," 1,439 "," 8,795 ",  -  ,
,Bindra Mahesh," 5,262 ", 234 ," 6,023 "," 3,793 "," 15,312 ",  -  ,
,Bond Ria," 4,915 "," 1,062 "," 9,331 "," 2,732 "," 18,040 ",  -  ,
,Mark Ron," 7,518 ", - ," 4,637 ", 39 ," 12,194 ",  -  ,
,Martin Tracey," 4,511 ", 617 ," 4,203 "," 6,464 "," 15,795 ",  -  ,
,Mitchell Clayton," 5,262 ", 870 ," 6,395 "," 4,190 "," 16,718 ",  -  ,
,O'Rourke Denis," 7,518 ", - ," 1,458 "," 2,564 "," 11,540 ",  -  ,
,Paraone Pita," 7,518 ", 365 ," 7,966 "," 3,052 "," 18,901 ",  -  ,
,Peters Winston," 7,518 ", 252 ," 13,709 "," 6,943 "," 28,423 ",  -  ,
,Prosser Richard," 7,518 ", 537 ," 9,804 "," 7,476 "," 25,336 ",  -  ,
,Stewart Barbara," 7,518 ", - ," 4,709 "," 7,268 "," 19,495 ",  -  ,
,Tabuteau Fletcher," 5,262 ", 142 ," 6,778 "," 2,811 "," 14,993 ",  -  ,
New Zealand First Total,," 71,972 "," 4,230 "," 80,567 "," 48,770 "," 205,539 ",  -  ,
,,,,,,,,
United Future, Dunne Peter , - , - , 380 , - , 380 ,  -  ,
United Future Total,, - , - , 380 , - , 380 ,  -  ,
,,,,,,,,
Grand Total,," 487,831 "," 76,163 "," 695,344 "," 461,238 "," 1,720,579 "," 74,970 ",
,,,,,,,,
(1),"$7,518 of the Wellington Accommodation for Nuk Korako relates to the current quarter, $19,101 is a back paid amount relating to prior quarters ",,,,,,,
